ID,Storm,Lat,Lon,DistancetoCoast,NumberofHouses,TotalValue_2023,Stories_sum,Stories_median,Elevation,Rainfall_Max,Rainfall_Mean,MaxWind,FloodDepth,Damage,DamageRate
199,Henri,40.631,-73.904,0.427110296,599,319980590.9,1108,2,2.733190099,19.78226251,1.748335366,33.67028812,0.229058422,NA,NA
200,Henri,40.632,-73.901,0.709598091,492,301061529.3,801,2,2.978562358,19.78226251,1.748335366,34.20687026,0.213256121,NA,NA
203,Henri,40.642,-73.891,0.440862423,459,277479442.8,674,1,2.698607887,19.78226251,1.748335366,36.37174426,0.196530787,NA,NA
204,Henri,40.643,-73.888,0.166472884,272,206334453.5,497,2,2.556347829,19.82943591,1.784986733,36.85090457,0.163282684,NA,NA
205,Henri,40.638,-73.887,0.519031862,410,251554249.5,855,2,2.684409403,19.78226251,1.748335366,36.50428638,0.256412568,NA,NA
206,Henri,40.633,-73.893,0.721006,374,245488071.7,786,2,3.201023374,19.78226251,1.748335366,35.17088564,0.199441191,NA,NA
207,Henri,40.63,-73.898,0.556532012,410,320801904.8,1022,3,2.724785928,19.78226251,1.748335366,34.3018774,0.29561743,NA,NA
208,Henri,40.661,-73.881,0.679700139,2,97595540.1,12,6,3.696640076,19.9422203,1.83447999,39.18660182,0.750289527,NA,NA
229,Henri,40.828,-73.889,0.359283589,236,165320036.7,676,3,18.02458957,20.33695101,1.768252905,19.27376926,0.052578395,NA,NA
231,Henri,40.829,-73.822,0.618799183,378,244399561.4,749,2,8.582780271,21.315945,2.026297448,21.91193772,0.247510993,NA,NA
241,Henri,40.883,-73.918,0.359181344,70,255032854.3,216,3,52.90764447,19.94033553,1.947547377,10.64417039,0.014859049,NA,NA
274,Henri,40.776,-73.908,0.664826173,420,652666475.9,1021,2,17.02946466,20.06632022,1.980067946,33.08120589,0.081503797,NA,NA
278,Henri,40.773,-73.904,0.830672834,389,495266587.9,884,2,17.04773005,20.06632022,1.980067946,35.61904875,0.050766123,NA,NA
417,Henri,40.866,-73.92,0.392486085,99,357270192.5,419,5,5.850458289,20.14488124,1.988814922,12.91916917,0.19004249,NA,NA
420,Henri,40.825,-73.819,0.38671726,263,267864529.6,544,2,8.424329167,21.45948745,2.051524436,23.03275605,0.1546,NA,NA
430,Henri,40.786,-73.841,0.503309128,544,512955781.2,1077,2,11.9357816,20.92658717,2.031736074,34.12862304,0.022330444,NA,NA
431,Henri,40.651,-73.894,0.337784705,8,120442919.9,27,3,3.542801341,19.8766093,1.8216381,36.66628079,0.642880693,NA,NA
445,Henri,40.782,-73.845,0.367711261,683,610667904.2,1544,2,12.66860583,20.92658717,2.031736074,34.65707341,0.015566528,NA,NA
450,Henri,40.84,-73.924,0.54471032,197,194779731.4,504,2,31.81260201,19.99304773,1.988606528,16.7158059,0.049493956,NA,NA
453,Henri,40.874,-73.903,0.523886006,255,344624912.3,754,3,24.39569407,20.4253738,1.961174568,12.37402788,0.061455845,NA,NA
457,Henri,40.869,-73.901,0.662134083,54,116595674.3,196,3,47.6727085,20.4253738,1.961174568,13.09873821,0.025964006,NA,NA
467,Henri,40.765,-73.934,0.564914837,188,456587025.9,533,3,4.372293198,20.06612169,1.978660495,30.70730615,0.149538848,NA,NA
471,Henri,40.635,-74.031,0.649527505,266,429383336.9,616,2,18.44798351,18.87096445,1.661210835,22.63865873,0.018382748,NA,NA
478,Henri,40.673,-73.983,0.492151493,712,1144198892,4112,4,13.12208706,19.58363496,1.54066916,30.71146326,0.065872646,NA,NA
482,Henri,40.636,-73.89,0.868851978,414,297130537.7,744,2,3.080024133,19.78226251,1.748335366,36.04524047,0.177090429,NA,NA
484,Henri,40.81,-73.942,0.647042913,667,674216836,3507,5,7.080604476,19.70611339,1.990802488,19.01657709,0.196961925,NA,NA
502,Henri,40.696,-74.042,2.220876093,4,480560734.2,0,0,2.65160753,19.66575216,1.791397885,22.86101719,0.311954972,NA,NA
517,Henri,40.822,-73.869,0.852912098,50,87027918.3,152,3,6.166684488,20.57316353,1.98474585,20.56321409,0.203367955,NA,NA
524,Henri,40.629,-73.92,0.332566512,287,279003861.3,662,2,3.912206315,19.54281378,1.629706416,31.9302445,0.459499548,NA,NA
525,Henri,40.632,-73.924,0.58142968,577,410824486.5,989,2,5.107657462,19.54281378,1.629706416,31.71546412,0.251756362,NA,NA
533,Henri,40.667,-73.822,0.643735856,567,444730184.3,1105,2,6.371848124,20.3706419,1.8648697,43.5975132,0.294872077,NA,NA
540,Henri,40.772,-73.922,0.82161069,564,794973777.2,2095,3,11.54743663,19.90928146,1.980668727,30.86780226,0.086286782,NA,NA
542,Henri,40.743,-73.977,0.432570451,2050,2533951532,36851,21,7.880684974,20.18444871,1.964232921,34.01195383,0.113261202,NA,NA
543,Henri,40.774,-73.921,0.579457884,341,470611928.1,746,2,9.900274037,19.90928146,1.980668727,29.82538995,0.397752486,NA,NA
550,Henri,40.697,-73.975,0.265971388,345,402701180.4,1783,3,5.632200576,19.85417102,1.732955404,33.27190879,0.034677492,NA,NA
551,Henri,40.695,-73.971,0.580167761,217,378336271,651,3,14.43430927,19.91368479,1.844221814,33.40652282,0.019172515,NA,NA
552,Henri,40.816,-73.848,0.292876956,408,237414953,1077,3,6.4461618,21.03039787,1.819481327,22.08594649,0.021550515,NA,NA
568,Henri,40.557,-74.164,0.722119875,1465,883487269.3,2425,2,11.0761129,19.16603302,1.628138692,11.20912166,0.116118763,NA,NA
570,Henri,40.83,-73.88,0.310845902,427,335980025.7,1000,2,10.45514902,20.52361809,1.869171774,19.44185525,0.086966325,NA,NA
571,Henri,40.59,-73.955,0.783445566,388,338838924.7,1022,2,3.222216083,19.55476805,1.775289841,23.72448703,0.162460511,NA,NA
575,Henri,40.588,-73.936,0.50902346,468,445319600.3,1091,2,3.042363333,19.80476843,1.80560098,25.50364913,0.219183809,NA,NA
586,Henri,40.711,-73.917,0.677923673,797,791237277.5,1814,2,18.41437402,20.01877213,1.766953115,38.24495119,0.124364001,NA,NA
589,Henri,40.819,-73.853,0.540615677,314,249335653.7,812,3,6.536165365,20.8017807,1.902113589,21.57257648,0.055484345,NA,NA
590,Henri,40.82,-73.85,0.639076959,121,157868024,249,2,12.0500394,21.03039787,1.819481327,21.32160569,0.015265337,NA,NA
605,Henri,40.773,-73.929,0.406541843,441,440469082.5,1426,3,9.471675982,19.90928146,1.980668727,33.28690812,0.046393534,NA,NA
608,Henri,40.602,-74.006,0.386971445,319,318890884.1,674,2,6.480064724,19.26337328,1.72849036,21.3993802,0.051762532,NA,NA
617,Henri,40.845,-73.944,0.189096179,68,1951597985,466,6,29.49827652,19.81439924,2.000054247,14.29468155,0.126762238,NA,NA
623,Henri,40.695,-73.964,0.723715133,818,722950849,4166,4,11.80025239,19.91368479,1.844221814,33.7889464,0.036817653,NA,NA
624,Henri,40.849,-73.918,0.537323753,68,135932775.6,199,2,43.00068732,19.99304773,1.988606528,15.62469015,0.084415796,NA,NA
630,Henri,40.792,-73.777,0.278607074,4,177985869.4,3,0,9.21245608,21.73531953,2.103493306,32.76714687,0.107521319,NA,NA
632,Henri,40.591,-73.986,0.647500472,406,450070908.4,877,2,2.572016714,19.33704789,1.743235237,21.80713506,0.676823333,6961,1.55E-05
633,Henri,40.706,-73.961,0.581814752,374,334325397.3,1494,3.5,15.24797425,19.99281546,1.87674146,34.41056814,0.067040604,NA,NA
634,Henri,40.576,-73.998,0.446629887,574,371253857.8,1195,2,2.174517182,19.57879788,1.774415024,19.73018012,0.247210389,NA,NA
683,Henri,40.665,-73.817,0.359822251,204,272352352.3,332,2,5.328603999,20.3706419,1.8648697,43.53024268,0.250382137,NA,NA
690,Henri,40.581,-73.959,0.462074361,366,215138663.1,1386,2,2.296392113,19.7890468,1.826364953,22.59982144,0.370063492,NA,NA
694,Henri,40.876,-73.91,0.198279067,252,524592709.2,786,3,9.36942315,20.28512752,1.974994745,11.69169941,0.19059341,NA,NA
695,Henri,40.598,-73.758,0.802256352,647,518644901.5,1206,2,4.868367846,21.35391871,2.023826211,39.74026596,0.072862939,NA,NA
715,Henri,40.867,-73.906,0.359103475,2,799405061.4,16,8,46.35566905,20.4253738,1.961174568,13.25550035,0.008003268,NA,NA
716,Henri,40.865,-73.904,0.558684541,128,292501486,451,3,38.70856927,20.4253738,1.961174568,13.57490851,0.105091993,NA,NA
720,Henri,40.596,-73.991,0.79962494,621,713666259.1,1251,2,3.1672293,19.33704789,1.743235237,21.9193903,0.278447672,NA,NA
724,Henri,40.851,-73.919,0.349647128,176,138049323.6,450,2,31.54287235,19.99304773,1.988606528,15.21485211,0.01559224,NA,NA
730,Henri,40.778,-73.916,0.548765815,477,583546897.9,986,2,13.13996641,19.98780084,1.980368337,27.82087466,0.066213739,NA,NA
731,Henri,40.776,-73.919,0.55833507,612,799901538,1300,2,11.5873916,19.90928146,1.980668727,27.89302195,0.159951367,NA,NA
732,Henri,40.636,-74.119,0.62407248,17,27277012.35,50,3,9.401968754,18.50610271,1.274350776,13.02607512,0.090513757,NA,NA
735,Henri,40.701,-73.931,0.803816567,306,314520008.7,951,3,15.43085645,19.96194922,1.860857264,36.36208,0.025934866,NA,NA
742,Henri,40.635,-73.921,0.481099792,2,52904881.05,7,3.5,4.242642505,19.54281378,1.629706416,32.42098454,0.549617135,NA,NA
747,Henri,40.636,-73.911,0.599156415,637,486051577.6,1371,2,4.02982197,19.66253814,1.689020891,33.56923748,0.470949796,NA,NA
751,Henri,40.64,-73.894,0.76173519,457,267070914.9,602,1,3.086321254,19.78226251,1.748335366,35.92184208,0.138675573,NA,NA
754,Henri,40.794,-73.94,0.485511711,393,597228430,2247,6,4.144200066,19.87163458,1.982703676,21.78447407,0.15550395,NA,NA
757,Henri,40.855,-73.914,0.524007449,132,141540368,386,3,34.50411795,20.22506344,1.926712231,14.75169599,0.036690171,NA,NA
760,Henri,40.745,-74.003,0.511990757,711,2511450061,4745,5,4.520644837,20.20299641,1.960152078,23.70181066,0.216330744,NA,NA
